11:06:52.942 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Starting TransferMoneyApplication using Java 17.0.5 with PID 15732 (D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney\target\classes started by and in D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney)
11:06:52.949 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - No active profile set, falling back to 1 default profile: "default"
11:06:53.616 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
11:06:53.617 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
11:06:53.683 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:06:53.966 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Started TransferMoneyApplication in 1.404 seconds (process running for 2.036)
11:07:02.790 [http-nio-5500-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:07:02.894 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.services.TransferServices - POST: /transfer -> cardFromNumber: 1111111111111111, cardToNumber: 2222222222222222
11:07:02.894 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.services.TransferServices - Верификаия карты пройдена, id операции: 1
11:07:02.894 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.repositories.CardRepository - Номер транзакции перевода: 1
11:07:02.920 [http-nio-5500-exec-4] INFO  ru.andmosc.transferMoney.services.TransferServices - POST: /confirmOperation
11:07:02.920 [http-nio-5500-exec-4] INFO  ru.andmosc.transferMoney.services.TransferServices - Списание с карты: 1111111111111111, Карта зачисления: 2222222222222222, Сумма: 10000 RUR, номер транзакции: 1
11:07:43.925 [http-nio-5500-exec-5] INFO  ru.andmosc.transferMoney.services.TransferServices - POST: /transfer -> cardFromNumber: 1111111111111111, cardToNumber: 2222222222222222
11:07:43.929 [http-nio-5500-exec-5] INFO  ru.andmosc.transferMoney.services.TransferServices - Верификаия карты пройдена, id операции: 2
11:07:43.930 [http-nio-5500-exec-5] INFO  ru.andmosc.transferMoney.repositories.CardRepository - Номер транзакции перевода: 2
11:07:43.937 [http-nio-5500-exec-6] INFO  ru.andmosc.transferMoney.services.TransferServices - POST: /confirmOperation
11:07:43.937 [http-nio-5500-exec-6] INFO  ru.andmosc.transferMoney.services.TransferServices - Списание с карты: 1111111111111111, Карта зачисления: 2222222222222222, Сумма: 1500 RUR, номер транзакции: 2
